Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2020-08-12T02:41:07Z,-0.053,28.2255,0.876,1.4699,28.16,29.960022,4.9984,90.243,14.409,184.0499,1146.2,1.3624799929002493,-0.013,0
2020-08-12T02:41:07Z,-0.056,28.2181,0.894,1.4632,28.16,29.958869,4.9387,89.987,14.409,184.6942,1135.3,1.3626866613076103,-0.012,0
2020-08-12T02:41:07Z,-0.057,28.2065,0.8846,1.4014,28.124,29.920806,4.9206,89.539,14.409,185.3441,1159.7,1.361172547974449,-0.009,0
2020-08-12T02:41:07Z,-0.058,28.1947,0.8765,1.3743,28.085,29.880438,4.93,88.954,14.408,185.3686,1279.8,1.3595102047473326,-0.006,0
2020-08-12T02:41:07Z,-0.061,28.1885,0.8633,1.4453,28.057,29.851403,4.9308,88.234,14.407,184.9056,1304.5,1.358253129969472,-0.003,0
2020-08-12T02:41:07Z,-0.063,28.1866,0.8392,1.4696,28.032,29.823503,4.9157,87.292,14.407,184.7354,1170.2,1.3570293866176402,0.001,0
2020-08-12T02:41:07Z,-0.063,28.1864,0.824,1.3931,28.011,29.796841,4.8901,86.09,14.408,185.4624,1128.5,1.3559625768178845,0.005,0
2020-08-12T02:41:07Z,-0.061,28.1894,0.8226,1.3451,28.002,29.782779,4.8573,84.815,14.408,186.1244,1200.3,1.3554196229571147,0.008,0
2020-08-12T02:41:07Z,-0.057,28.1918,0.8315,1.3698,28.004,29.780358,4.8202,83.71,14.408,185.7696,1219.6,1.3554550022933363,0.009,0
2020-08-12T02:41:07Z,-0.052,28.1892,0.8452,1.3823,27.996,29.767554,4.7713,82.847,14.408,185.0445,1174.8,1.3551186999936546,0.009,0
2020-08-12T02:41:07Z,-0.047,28.1819,0.8459,1.3588,27.988,29.754841,4.7017,82.34,14.408,184.6695,1101.1,1.35491292947504,0.01,0
2020-08-12T02:41:07Z,-0.046,28.1723,0.8306,1.3613,27.991,29.753506,4.626,82.402,14.408,184.5921,1070.6,1.3553328503226927,0.011,0
2020-08-12T02:41:07Z,-0.048,28.1639,0.851,1.4459,27.993,29.751416,4.5671,82.973,14.409,184.5387,1086.6,1.3556685633635037,0.012,0
2020-08-12T02:41:07Z,-0.048,28.1559,0.9202,1.593,27.976,29.729554,4.5201,83.807,14.409,184.7116,1113.9,1.35502247426446,0.012,0
2020-08-12T02:41:07Z,-0.041,28.1488,0.9617,1.6984,27.932,29.679481,4.4841,84.756,14.408,185.0477,1068.9,1.3529714551458067,0.011,0
2020-08-12T02:41:07Z,-0.033,28.1424,0.9616,1.6903,27.909,29.653477,4.4909,85.752,14.408,184.9034,965.32,1.351973682434019,0.01,0
2020-08-12T02:41:07Z,-0.028,28.1338,0.9572,1.5636,27.924,29.668891,4.5297,86.676,14.408,184.6017,1139.7,1.3529787953803831,0.008,0
2020-08-12T02:41:07Z,-0.028,28.1261,0.9565,1.4362,27.931,29.675535,4.5777,87.285,14.408,184.8416,1418.3,1.3535503892671843,0.004,0
2020-08-12T02:41:07Z,-0.031,28.1208,0.9634,1.4201,27.927,29.670366,4.631,87.39,14.408,185.1371,1404.8,1.3534931599443383,-0.001,0
2020-08-12T02:41:07Z,-0.035,28.1178,0.9639,1.4032,27.929,29.669835,4.6867,87.068,14.407,184.2165,1315.1,1.3536787873795633,-0.005,0
2020-08-12T02:41:07Z,-0.036,28.1172,0.9529,1.3691,27.93,29.669105,4.7435,86.569,14.407,176.1203,1249.5,1.3537465938627302,-0.007,0
2020-08-12T02:41:07Z,-0.036,28.1167,0.9448,1.3859,27.925,29.661543000000002,4.7816,86.117,14.408,161.2393,1153.4,1.3535048259260178,-0.007,0
2020-08-12T02:41:07Z,-0.037,28.1146,0.9422,1.4,27.909,29.64183,4.7856,85.864,14.41,151.8496,1162.1,1.3527451299306648,-0.005,0
2020-08-12T02:41:07Z,-0.041,28.1106,0.9507,1.4026,27.891,29.621068,4.7619,85.873,14.41,149.7479,1242.9,1.3519359122964631,-0.002,0
2020-08-12T02:41:07Z,-0.045,28.1058,0.9609,1.3823,27.872,29.600823,4.7311,86.032,14.411,148.9919,1247.7,1.3510976653731983,0.002,0
2020-08-12T02:41:07Z,-0.044,28.1008,0.9612,1.3607,27.86,29.587349,4.7043,86.197,14.411,148.3014,1227.2,1.35062268901652,0.004,0
2020-08-12T02:41:07Z,-0.038,28.0976,0.9642,1.3813,27.859,29.585032000000002,4.688,86.336,14.41,147.5079,1181.7,1.350660179094883,0.006,0
2020-08-12T02:41:07Z,-0.033,28.0958,0.9678,1.3917,27.848,29.572807,4.692,86.444,14.408,146.6245,1016.4,1.3501474643671543,0.007,0
2020-08-12T02:41:07Z,-0.03,28.0938,0.9666,1.3841,27.843,29.56641,4.705,86.526,14.408,146.0522,991.47,1.3499471557008893,0.007,0
2020-08-12T02:41:07Z,-0.03,28.0928,0.9493,1.3917,27.848,29.571127,4.7132,86.595,14.408,145.8372,1174.7,1.3502305870593605,0.006,0
2020-08-12T02:41:07Z,-0.032,28.0916,0.9216,1.4155,27.846,29.566399,4.7214,86.574,14.409,145.4015,1241.2,1.350161600767425,0.003,0
2020-08-12T02:41:07Z,-0.032,28.0896,0.9076,1.4312,27.854,29.572676,4.7277,86.389,14.409,144.6557,1210.3,1.3506262115159628,0.001,0
2020-08-12T02:41:07Z,-0.03,28.0887,0.8944,1.4103,27.865,29.583586,4.7307,86.09,14.409,144.1323,1270.7,1.3512137389962537,0,0
2020-08-12T02:41:07Z,-0.029,28.0869,0.9149,1.4031,27.855,29.571428,4.7371,85.832,14.41,144.752,1321.4,1.350752150949989,0,0
2020-08-12T02:41:07Z,-0.029,28.0831,0.9829,1.4126,27.837,29.552549,4.7383,85.726,14.41,151.8041,1298.4,1.3499368024512541,0.001,0
2020-08-12T02:41:07Z,-0.03,28.0788,1.0313,1.4219,27.831,29.545637,4.7274,85.751,14.409,163.8367,1311.3,1.3497490835623673,0.001,0
2020-08-12T02:41:07Z,-0.031,28.0756,1.0421,1.4459,27.837,29.55129,4.7077,85.831,14.409,170.127,1358.9,1.350144744938224,0.001,0
2020-08-12T02:41:07Z,-0.031,28.0738,1.0464,1.4294,27.842,29.557463,4.6908,85.896,14.409,172.5368,1389.6,1.3504504513208095,0.001,0
2020-08-12T02:41:07Z,-0.029,28.0733,1.0641,1.3944,27.842,29.556828,4.6864,85.902,14.409,175.3346,1333.2,1.3504642784120386,0.001,0
2020-08-12T02:41:07Z,-0.028,28.0735,1.0937,1.4004,27.829,29.543622,4.6892,85.88,14.409,176.6814,1208.5,1.349793619080099,0.001,0
2020-08-12T02:41:07Z,-0.028,28.0739,1.1185,1.433,27.811,29.524658,4.6949,85.89,14.409,177.3765,1154.1,1.34886169772937,0.001,0
2020-08-12T02:41:07Z,-0.029,28.0741,1.1066,1.4458,27.804,29.517843,4.6998,85.894,14.409,173.5864,1215.2,1.3484980890022418,0.001,0
2020-08-12T02:41:07Z,-0.029,28.0741,1.0547,1.4168,27.811,29.524668,4.6992,85.779,14.41,164.6695,1291,1.3488561836343016,0,0
2020-08-12T02:41:07Z,-0.029,28.0739,1.015,1.3918,27.829,29.543742,4.696,85.479,14.41,158.6998,1288.7,1.3497825705441795,0,0
2020-08-12T02:41:07Z,-0.029,28.0742,1.0176,1.4187,27.842,29.558149,4.6976,85.011,14.409,158.8813,1265.6,1.350439321655473,-0.001,0
2020-08-12T02:41:07Z,-0.028,28.0749,1.0299,1.4326,27.854,29.571999,4.7005,84.416,14.409,165.0576,1271.1,1.3510338403354862,-0.002,0
2020-08-12T02:41:07Z,-0.028,28.0751,1.0389,1.3883,27.864,29.584318,4.6956,83.749,14.409,173.4067,1298.2,1.3515398989457097,-0.002,0
2020-08-12T02:41:07Z,-0.029,28.0752,1.0605,1.3638,27.859,29.580232,4.6784,83.1,14.409,176.1134,1327.8,1.3512813129506378,-0.002,0
2020-08-12T02:41:07Z,-0.033,28.0758,1.0811,1.3767,27.864,29.586022,4.6518,82.533,14.409,171.3706,1293,1.3515205361128877,-0.001,0
2020-08-12T02:41:07Z,-0.035,28.0786,1.0874,1.4064,27.865,29.590888,4.6186,82.062,14.408,166.1367,1266.6,1.3514940590157163,0,0
2020-08-12T02:41:07Z,-0.033,28.0809,1.0691,1.4142,27.846,29.575644,4.5797,81.673,14.408,170.2192,1414.2,1.3504582485742083,0.001,0
2020-08-12T02:41:07Z,-0.029,28.0811,1.0324,1.368,27.856,29.592033,4.5425,81.267,14.408,179.3462,1585.2,1.3509641603214648,0.003,0
2020-08-12T02:41:07Z,-0.027,28.0828,1.016,1.3628,27.917,29.662174,4.5123,80.767,14.408,183.2246,1510.3,1.3540375788291599,0.004,0
2020-08-12T02:41:07Z,-0.027,28.0884,1.0238,1.4192,27.972,29.725922,4.4844,80.158,14.408,183.0413,1316,1.3566956845515794,0.002,0
2020-08-12T02:41:07Z,-0.027,28.0998,1.0493,1.4328,27.968,29.728444,4.4659,79.4,14.407,179.8832,1265.5,1.356173632450239,-0.001,0
2020-08-12T02:41:07Z,-0.026,28.1106,1.0767,1.3903,27.93,29.692677,4.4446,78.526,14.406,176.4438,1325.4,1.353929827659426,-0.002,0
2020-08-12T02:41:07Z,-0.027,28.1167,1.079,1.3503,27.91,29.674098,4.4153,77.612,14.405,179.9158,1340.3,1.352737845007772,-0.002,0
2020-08-12T02:41:07Z,-0.032,28.1271,1.0855,1.3615,27.928,29.694119,4.3841,76.727,14.405,185.984,1320.8,1.3533693325696465,-0.002,0
2020-08-12T02:41:07Z,-0.033,28.1418,1.0795,1.3887,27.974,29.744438,4.3397,75.906,14.405,188.383,1299.9,1.355312002431908,-0.002,0
2020-08-12T02:41:07Z,-0.031,28.1517,1.0453,1.4038,28,29.775012,4.2899,75.135,14.405,189.1326,1289.3,1.3563652753518192,-0.002,0
2020-08-12T02:41:07Z,-0.029,28.1541,1.0336,1.4077,27.97,29.746603,4.2383,74.397,14.406,189.713,1342.6,1.3547656400790538,-0.001,0
2020-08-12T02:41:07Z,-0.029,28.1536,1.0336,1.3672,27.94,29.718138,4.1892,73.709,14.406,190.2371,1380.2,1.3532468029796731,0.001,0
2020-08-12T02:41:07Z,-0.032,28.1562,1.0451,1.36,27.965,29.748038,4.1448,73.097,14.406,190.3072,1356.9,1.3544518913057912,0.001,0
2020-08-12T02:41:07Z,-0.033,28.1619,1.0784,1.3889,28.003,29.790936,4.1027,72.528,14.406,189.9587,1333,1.3562348560382853,0,0
2020-08-12T02:41:07Z,-0.031,28.1692,1.0919,1.3736,28.001,29.792756,4.0617,71.949,14.405,189.5512,1315.5,1.3559296407422992,-0.001,0
2020-08-12T02:41:07Z,-0.03,28.1764,1.0935,1.3811,27.976,29.770051,4.0222,71.354,14.405,188.4771,1331.5,1.354452667482242,-0.001,0
2020-08-12T02:41:07Z,-0.03,28.1808,1.1072,1.4459,27.974,29.77017,3.9895,70.755,14.405,188.33,1364.8,1.3542283540273108,-0,0
