Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Eubosmina,coregoni
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Eubosmina,hagmanni
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Eubosmina,longispina
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Bosminidae,NA,Eubosmina,tubicen
Arthropoda,Crustacea,Branchiopoda,NA,Anostraca,Anostracina,Chirocephelidae,NA,Eubranchipus,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Eucyclops,agilis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Eucyclops,elegans
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Eucyclops,prionophorus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Eurycercus,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Temoridae,NA,Eurytemora,affinis
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Graptoleberis,testudinaria
Arthropoda,Crustacea,Maxillopoda,Copepoda,Harpacticoida,NA,NA,NA,NA,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Hesperodiaptomus,franciscanus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Hesperodiaptomus,shoshone
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Temoridae,NA,Heterocope,septentrionalis
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Holopedidae,NA,Holopedium,gibberum
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Homocyclops,ater
Arthropoda,Chelicerata,Arachnida,NA,Trombidiformes,NA,NA,NA,NA,NA
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Ilyocryptidae,NA,Ilyocryptus,NA
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Kurzia,latissima
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Macrothricidae,NA,Lathonura,rectirostris
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Sididae,NA,Latona,glacialis
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Sididae,NA,Latona,parviremis
