Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species,ln a (intercept),b,size range min,size range max,Instar,Notes,UseThisColumnMaybe
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Bosminidae,,Eubosmina,coregoni,2.7839,2.505,,,,"**eubosmina on unh key, bosmina in downing and rigler 1984",
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Chydoridae,,Chydorus,sphaericus,4.543,3.636,0.2,0.4,,different ref,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Chydoridae,,Chydorus,sphaericus,4.4935,3.93,,,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Chydoridae,,Chydorus,sphaericus,4.8211,4.08,,,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Leptodoridae,,Leptodora,kindti,-0.822,2.67,1,5,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Polyphemidae,,Polyphemus,pediculus,2.7792,2.152,0.3,1.1,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Sididae,,Sida,crystallina,2.0539,2.189,0.8,2.3,,,Yes
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Daphniidae,,Scapholeberis,kingi,2.8713,3.079,0.3,0.8,,?- scapholeberis mucronata in unh guide,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Ilyocryptidae,,Ilyocriptus,sordidus,5.9913,7.942,0.3,0.6,,,
Arthropoda,Crustacea,Branchiopoda,,,Cladocera,Chydoridae,,Disparalona,rostrata,3.5276,3.264,0.3,0.5,,?- but don't have them in our systems,
Arthropoda,Crustacea,Maxillopoda,Copepoda,,,,,,,0.6977,0.469,0.16,0.3,,(nauplii),
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,,Diaptomidae,,Skistodiaptomus,pallidus,1.5013,1.73,0.3,1.4,,,Yes
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,,Diaptomidae,,Leptodiaptomus,siciloides,1.05,2.46,,,,,Yes
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,,Diaptomidae,,Diaptomus,gracilis,1.2431,2.2634,0.3,1.85,N-ad,?,
