Objective,mm_from_stage,OccularLines
20x,0.4,1
25x,0.8,2.5
30x,0.8,3
35x,1.7,7.5
40x,0.4,2
50x,0.3,1.9
60x,1.2,9.1
70x,0.8,7.1
75x,0.8,7.6
