Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag,time
2019-07-10T11:33:38Z,0.005,27.3498,0.7329,0.8838,27.148,28.422837,7.1696,90.536,5.847,268.1979,653,1.3347713980867557,0.113,996.4339,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.039,27.3476,0.7338,0.8872,26.908,28.165407,7.1569,90.357,5.84,268.4041,661.11,1.322391565127179,0.117,996.4347,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.069,27.347,0.7256,0.8416,26.741,27.981061,7.1435,90.16,5.833,268.7705,675.74,1.3137557200798478,0.119,996.435,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.095,27.3454,0.7293,0.8228,26.68,27.906923,7.1377,90.056,5.83,269.0143,620.56,1.310639588931924,0.119,996.4357,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.123,27.3428,0.7609,0.8893,26.624,27.83999,7.1374,90.025,5.831,269.3728,553.51,1.307809767426198,0.12,996.4365,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.155,27.3324,0.814,1.0238,26.599,27.806213,7.1426,90.069,5.834,270.0078,517.79,1.3067967154183906,0.123,996.4395,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.187,27.3112,0.8421,1.1049,26.614,27.815732,7.1556,90.215,5.839,270.669,494.01,1.308148663879976,0.128,996.4455,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.22,27.291,0.8398,1.0841,26.63,27.828184,7.1751,90.448,5.844,271.2575,471.37,1.3095264217928748,0.132,996.4512,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.255,27.275,0.8384,1.0012,26.635,27.829874,7.1987,90.735,5.849,271.704,441.27,1.310220443962125,0.132,996.4557,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.292,27.2613,0.8432,0.8901,26.644,27.836165,7.2202,90.996,5.853,271.8512,410.47,1.3110597298286568,0.126,996.4597,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.329,27.2501,0.8449,0.8217,26.651,27.840798,7.2328,91.147,5.855,271.9191,384.37,1.3117275578696588,0.116,996.463,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.36,27.2419,0.8423,0.8288,26.635,27.822437999999998,7.2359,91.181,5.855,272.0946,364.3,1.3111203063282726,0.104,996.4654,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.383,27.2358,0.8553,0.8779,26.619,27.804507,7.2361,91.18,5.855,272.2526,348.53,1.3104557940873387,0.092,996.4672,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.4,27.23,0.8891,0.9243,26.63,27.814327,7.2378,91.198,5.852,272.367,329.9,1.3111845656239904,0.082,996.4689,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.415,27.2253,0.9131,0.897,26.631,27.814275,7.2378,91.195,5.852,272.6173,308.2,1.311364371741563,0.073,996.4702,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.43,27.222,0.9106,0.8106,26.622,27.803878,7.2317,91.115,5.853,273.0421,286.64,1.3109868993346276,0.065,996.4712,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.45,27.2197,0.9112,0.7643,26.634,27.815507,7.2209,90.977,5.856,273.3726,265.93,1.3116723847079195,0.057,996.472,0,10 Jul 11:33
2019-07-10T11:33:38Z,0.471,27.2178,0.9379,0.796,26.646,27.827997,7.208,90.813,5.863,273.6018,247.19,1.3123469305985338,0.051,996.47260000000006,0,10 Jul 11:33
