"Group","dispersion","avg_area"
"site",0.444348014113544,0.543642827790073
"site",0.316297014962881,0.216061795287857
"day",0.335644578485798,0.12741910308703
"day",0.344717757258923,0.176637079841341
"day",0.41768944563385,0.288763634117747
"day",0.327220887957718,0.0996785118690041
"day",0.343752019488335,0.060771358349126
"hour",0.365868502049286,0.225460155081705
"hour",0.365283813487154,0.16880642190627
"hour",0.345685148170576,0.162840899872641
"hour",0.366867048315707,0.209007331139774
"hour",0.412459757015578,0.254371110524166
"hour",0.407897523314223,0.205838960500116
"hour",0.425938323110897,0.191668424207409
"hour",0.40186857806327,0.273222566406142
"hour",0.386512242137689,0.232129646860605
"hour",0.408744859561719,0.296963802372649
"hour",0.288082835643741,0.135535233456751
